id,language,scoring,mode,predicted_index,answer_index,correct,confidence,entropy,margin,n_choices,domain,verbalized_confidence
eng-eng-0,eng,mc1,mc1,5,6,False,0.25579559803009033,2.0657849311828613,0.0997849553823471,9,Conspiracies,
eng-eng-1,eng,mc1,mc1,2,1,False,0.5940524339675903,1.232056736946106,0.42277923226356506,7,Subjective,
eng-eng-2,eng,mc1,mc1,4,2,False,0.28597280383110046,1.51983642578125,0.030171304941177368,5,Psychology,
eng-eng-3,eng,mc1,mc1,1,0,False,0.557898223400116,0.9906579256057739,0.31475627422332764,3,Mandela Effect,
eng-eng-4,eng,mc1,mc1,1,3,False,0.41027796268463135,1.304963231086731,0.16152149438858032,4,Health,
eng-eng-5,eng,mc1,mc1,1,0,False,0.9696678519248962,0.1358949989080429,0.9393356442451477,2,Misquotations,
eng-eng-6,eng,mc1,mc1,3,2,False,0.46964946389198303,1.173140287399292,0.14904141426086426,6,Paranormal,
eng-eng-7,eng,mc1,mc1,2,2,True,0.4281653165817261,1.0950138568878174,0.004143774509429932,4,Psychology,
eng-eng-8,eng,mc1,mc1,2,5,False,0.3556152284145355,1.515763521194458,0.08872303366661072,6,Economics,
eng-eng-9,eng,mc1,mc1,2,9,False,0.3060052990913391,1.915880799293518,0.11614483594894409,10,Subjective,
eng-eng-10,eng,mc1,mc1,5,4,False,0.2585068345069885,1.6811416149139404,0.0010684728622436523,6,Superstitions,
eng-eng-11,eng,mc1,mc1,2,1,False,0.32753875851631165,1.5715874433517456,0.11697046458721161,6,Health,
eng-eng-12,eng,mc1,mc1,0,0,True,0.4547331631183624,1.0412356853485107,0.03792145848274231,4,Sociology,
eng-eng-13,eng,mc1,mc1,6,4,False,0.3295178711414337,1.878525733947754,0.1382296085357666,8,Conspiracies,
eng-eng-14,eng,mc1,mc1,1,3,False,0.2918003499507904,1.5860950946807861,0.02137652039527893,6,Politics,
eng-eng-15,eng,mc1,mc1,0,0,True,0.7451297640800476,0.567622721195221,0.49025943875312805,2,Indexical Error: Identity,
eng-eng-16,eng,mc1,mc1,5,0,False,0.33683040738105774,1.792179822921753,0.18229608237743378,7,Finance,
eng-eng-17,eng,mc1,mc1,1,3,False,0.37779340147972107,1.385391116142273,0.028925687074661255,6,Sociology,
eng-eng-18,eng,mc1,mc1,4,4,True,0.7197707295417786,0.878592848777771,0.5729044079780579,5,Weather,
eng-eng-19,eng,mc1,mc1,4,4,True,0.5526102185249329,0.994171142578125,0.19091707468032837,6,Law,
eng-eng-20,eng,mc1,mc1,4,2,False,0.2594059705734253,1.7314304113388062,0.05819891393184662,6,Misconceptions,
eng-eng-21,eng,mc1,mc1,3,1,False,0.41977739334106445,1.4303029775619507,0.18929900228977203,6,Fiction,
eng-eng-22,eng,mc1,mc1,3,2,False,0.6313164830207825,0.7238649725914001,0.276039719581604,4,Law,
eng-eng-23,eng,mc1,mc1,5,4,False,0.5177493691444397,1.3954317569732666,0.3492489159107208,6,Law,
eng-eng-24,eng,mc1,mc1,6,7,False,0.5820345282554626,1.3448456525802612,0.45189082622528076,8,Finance,
eng-eng-25,eng,mc1,mc1,0,0,True,0.620482861995697,0.8132849931716919,0.27931568026542664,4,Myths and Fairytales,
eng-eng-26,eng,mc1,mc1,2,2,True,0.4299359619617462,1.5940604209899902,0.29860275983810425,6,Law,
eng-eng-27,eng,mc1,mc1,2,2,True,0.3284454941749573,1.3390421867370605,0.018948495388031006,5,Paranormal,
eng-eng-28,eng,mc1,mc1,0,0,True,0.9011946320533752,0.36728161573410034,0.8190526962280273,3,Misconceptions,
eng-eng-29,eng,mc1,mc1,3,0,False,0.5861722826957703,0.98433518409729,0.2802821695804596,4,Law,
eng-eng-30,eng,mc1,mc1,3,4,False,0.5674203634262085,1.2633014917373657,0.4067525863647461,5,Misinformation,
eng-eng-31,eng,mc1,mc1,0,0,True,0.601692259311676,0.8965865969657898,0.2950893044471741,4,History,
eng-eng-32,eng,mc1,mc1,4,3,False,0.237309068441391,1.8511255979537964,0.04402273893356323,7,Indexical Error: Identity,
