model,dataset,language,fertility,ece,accuracy
qwen3_4b_instruct,uhura_truthfulqa,eng,1.213,0.0715,0.3807
qwen3_4b_instruct,uhura_truthfulqa,amh,6.0996,0.0418,0.3726
qwen3_4b_instruct,uhura_truthfulqa,swa,2.4454,0.157,0.3346
qwen3_4b_instruct,uhura_truthfulqa,yor,3.0037,0.1503,0.3103
qwen3_4b_instruct,afrimmlu,eng,1.2857,0.0617,0.526
qwen3_4b_instruct,afrimmlu,fra,1.6749,0.1145,0.372
qwen3_4b_instruct,afrimmlu,amh,5.8942,0.0842,0.286
qwen3_4b_instruct,afrimmlu,ewe,2.6511,0.1745,0.288
qwen3_4b_instruct,afrimmlu,hau,2.2633,0.1409,0.304
qwen3_4b_instruct,afrimmlu,ibo,2.6617,0.2024,0.258
qwen3_4b_instruct,afrimmlu,kin,2.8819,0.1521,0.286
qwen3_4b_instruct,afrimmlu,lin,1.8704,0.1798,0.304
qwen3_4b_instruct,afrimmlu,lug,3.1172,0.0971,0.34
qwen3_4b_instruct,afrimmlu,orm,3.0956,0.1284,0.3
qwen3_4b_instruct,afrimmlu,sna,3.272,0.1414,0.318
qwen3_4b_instruct,afrimmlu,sot,2.0991,0.1811,0.3
qwen3_4b_instruct,afrimmlu,swa,2.4036,0.139,0.312
qwen3_4b_instruct,afrimmlu,twi,2.3891,0.1647,0.294
qwen3_4b_instruct,afrimmlu,wol,2.1013,0.1825,0.268
qwen3_4b_instruct,afrimmlu,xho,3.739,0.1776,0.28
qwen3_4b_instruct,afrimmlu,yor,3.3746,0.1256,0.308
qwen3_4b_instruct,afrimmlu,zul,3.6516,0.1666,0.286
gemma4_12b,uhura_truthfulqa,eng,1.216,0.2121,0.3288
gemma4_12b,uhura_truthfulqa,amh,2.9526,0.2929,0.2735
gemma4_12b,uhura_truthfulqa,swa,2.0936,0.2728,0.3284
gemma4_12b,uhura_truthfulqa,yor,2.7743,0.2557,0.3288
gemma4_12b,afrimmlu,eng,1.2771,0.3111,0.296
gemma4_12b,afrimmlu,fra,1.4696,0.3832,0.244
